Key,Year,Identifier,Model,Model2,Category,Validation,Training (%),Test (%),Time Horizon,Time Horizon (Months),Rank within study,RMSE,nRMSE,R-Squared,R,MAE,MAPE,MASE,CORR,ME,SMAPE,MSE,Lambda,CVE,Pearson's correlation coefficient (ρ),Note/Input Variables,EXCLUDE
S5X3HJIW,2023,"Addawe, 2023",GBM,GBM,Machine Learning,Walk-forward ,75,25,1M,1,3,,,0.1728,,1.6219,,,,,,,,,,"Loakan Proper, Lag-1+Time",
S5X3HJIW,2023,"Addawe, 2023",LR,LR,Machine Learning,Walk-forward ,75,25,1M,1,4,,,0.5654,,1.7606,,,,,,,,,,"Asin, Lag-1+RH+RF",
S5X3HJIW,2023,"Addawe, 2023",RF,RF,Machine Learning,Walk-forward ,75,25,1M,1,5,,,0.3778,,2.655,,,,,,,,,,"Irisan, Lag-1+Year+RF+RH+WS+WD",
S5X3HJIW,2023,"Addawe, 2023",RF,RF,Machine Learning,Walk-forward ,75,25,1M,1,1,,,0.3538,,1.1379,,,,,,,,,,"Camp 7, Lag-7+Time",
S5X3HJIW,2023,"Addawe, 2023",RF,RF,Machine Learning,Walk-forward ,75,25,1M,1,2,,,0.0061,,1.4121,,,,,,,,,,"Bakakeng Central, Time + MTs",
Z7R5IGNY,2024,"Agarwala, 2024",RF,RF,Machine Learning,Not clear,Not clear,Not clear,24M,24,1,0.5487,,0.9418,,0.3763,,,,,,0.3011,,,,,
Z7R5IGNY,2024,"Agarwala, 2024",SARIMA,SARIMA,Time Series,Not clear,Not clear,Not clear,24M,24,2,0.5597,,0.9489,,0.3952,,,,,,0.3133,,,,"(2,1,3)(0,0,2)",
Z7R5IGNY,2024,"Agarwala, 2024",XGBoost,XGBoost,Machine Learning,Not clear,Not clear,Not clear,24M,24,3,119.3177,,-2.56164,,100.2533,,,,,,"14,236.71",,,,,
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,28.651,,,,25.727,,,,,0.183,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,29.892,,,,26.467,,,,,0.187,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,30.111,,,,19.11,,,,,0.31,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,30.157,,,,26.7,,,,,0.189,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,30.749,,,,27.253,,,,,0.191,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,31.509,,,,27.901,,,,,0.195,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,32.694,,,,25.986,,,,,0.389,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,32.723,,,,29.117,,,,,0.202,,,,,"Malang, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,33.001,,,,29.377,,,,,0.203,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,33.3885,,,,30.125,,,,,0.207,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,44.491,,,,42.39,,,,,0.502,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,53.785,,,,51.541,,,,,0.548,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,56.782,,,,32.646,,,,,33.924,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,57.102,,,,33.353,,,,,32.872,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,57.753,,,,35.058,,,,,32.057,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,58.267,,,,34.653,,,,,32.405,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,63.502,,,,44.488,,,,,0.30675,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,63.718,,,,45.088,,,,,0.314,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,65.273,,,,47.053,,,,,0.32,,,,,"Malang, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,66.851,,,,48.153,,,,,0.311,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,68.712,,,,65.754,,,,,0.592,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,68.763,,,,65.798,,,,,0.592,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,68.79,,,,47.121,,,,,29.257,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,68.861,,,,65.887,,,,,0.592,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,68.883,,,,65.907,,,,,0.592,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,68.927,,,,47.334,,,,,29.301,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,68.979,,,,47.232,,,,,29.301,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,69.874,,,,48.172,,,,,29.28,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,74.519,,,,44.263,,,,,0.332,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,75.159,,,,46.433,,,,,0.335,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,75.89,,,,46.604,,,,,0.318,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,77.764,,,,46.73,,,,,0.334,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,87.828,,,,49.669,,,,,0.301,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,88.456,,,,50.141,,,,,0.303,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,88.715,,,,51.043,,,,,0.31152,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,90.376,,,,50.535,,,,,0.301,,,,,"Malang, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,100.385,,,,77.733,,,,,14.905,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,100.805,,,,77.783,,,,,15.168,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,101.395,,,,77.647,,,,,15.751,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,101.76,,,,78.662,,,,,14.571,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,102.262,,,,79.339,,,,,13.643,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,102.854,,,,79.316,,,,,0.139,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,103.429,,,,79.595,,,,,0.144,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,104.763,,,,80.74,,,,,0.138,,,,,"Malang, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,114.903,,,,111.948,,,,,0.621,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,122.822,,,,65.229,,,,,24.776,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,125.818,,,,82.423,,,,,0.313,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,126.736,,,,112.082,,,,,36.165,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,128.291,,,,86.542,,,,,0.323,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,128.291,,,,86.542,,,,,0.323,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,138.189,,,,90.235,,,,,0.381,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,139.596,,,,92.529,,,,,0.37,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,140.185,,,,92.256,,,,,0.355,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,141.761,,,,99.836,,,,,0.341,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,141.882,,,,91.665,,,,,0.384,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,155.971,,,,81.837,,,,,0.331,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,156.264,,,,81.635,,,,,0.333,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,156.281,,,,81.628,,,,,0.332,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,156.334,,,,81.918,,,,,0.332,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,156.383,,,,82.234,,,,,0.33,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,156.553,,,,82.207,,,,,0.328,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,156.673,,,,82.336,,,,,0.331,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,156.846,,,,82.26,,,,,0.33,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,165.942,,,,82.544,,,,,25.441,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,168.958,,,,159.291,,,,,0.704,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,170.071,,,,96.885,,,,,0.181,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,171.489,,,,97.672,,,,,0.179,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,171.795,,,,97.555,,,,,0.177,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,172.123,,,,162.85,,,,,38.58,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,172.27,,,,99.054,,,,,0.168,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,174.682,,,,97.735,,,,,0.185,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,175.52,,,,98.878,,,,,0.181,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,176.496,,,,99.413,,,,,0.177,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ANN,ANN,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,4,177.188,,,,100.39,,,,,0.173,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,183.013,,,,174.602,,,,,39.72,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,207.708,,,,98.943,,,,,28.209,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,216.911,,,,210.725,,,,,0.74,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,228.106,,,,222.477,,,,,0.747,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,237.541,,,,112.599,,,,,29.403,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",ARIMAX,ARIMAX,Time Series,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,5,330.946,,,,78.057,,,,,41.997,,,,,"Malang, temperature, relative humidity, rainfall, wind speed",
424Q2DMX,2024,"Anggraeni, 2024",ARIMA - ANN,Hybrid ,Hybrid ,k-fold cross-validation,80,20,1M,1,3,,,,,,0.9619,,,,,0.193,,,,Highland ,
424Q2DMX,2024,"Anggraeni, 2024",ARIMA - ANN,Hybrid ,Hybrid ,k-fold cross-validation,80,20,1M,1,5,,,,,,0.9772,,,,,0.236,,,,Lowland ,
424Q2DMX,2024,"Anggraeni, 2024",ARIMA - ANN,Hybrid ,Hybrid ,k-fold cross-validation,80,20,1M,1,4,,,,,,0.8516,,,,,0.3459,,,,Middle land ,
424Q2DMX,2024,"Anggraeni, 2024",ARIMA - SVM,Hybrid ,Hybrid ,k-fold cross-validation,80,20,1M,1,6,,,,,,0.9734,,,,,0.2191,,,,Highland ,
424Q2DMX,2024,"Anggraeni, 2024",ARIMA - SVM,Hybrid ,Hybrid ,k-fold cross-validation,80,20,1M,1,3,,,,,,0.9742,,,,,0.2346,,,,Lowland ,
424Q2DMX,2024,"Anggraeni, 2024",ARIMA - SVM,Hybrid ,Hybrid ,k-fold cross-validation,80,20,1M,1,3,,,,,,0.8458,,,,,0.3431,,,,Middle land ,
424Q2DMX,2024,"Anggraeni, 2024",ARIMAX,ARIMAX,Time Series,k-fold cross-validation,80,20,1M,1,9,,,,,,0.9997,,,,,0.1931,,,,Highland ,
424Q2DMX,2024,"Anggraeni, 2024",ARIMAX,ARIMAX,Time Series,k-fold cross-validation,80,20,1M,1,6,,,,,,0.9834,,,,,0.1619,,,,Lowland ,
424Q2DMX,2024,"Anggraeni, 2024",ARIMAX,ARIMAX,Time Series,k-fold cross-validation,80,20,1M,1,7,,,,,,0.8912,,,,,0.3077,,,,Middle land ,
424Q2DMX,2024,"Anggraeni, 2024",GMM,GMM,Machine Learning,k-fold cross-validation,80,20,1M,1,4,,,,,,0.9537,,,,,0.077,,,,Highland ,
424Q2DMX,2024,"Anggraeni, 2024",GMM,GMM,Machine Learning,k-fold cross-validation,80,20,1M,1,4,,,,,,0.9748,,,,,0.1081,,,,Lowland ,
424Q2DMX,2024,"Anggraeni, 2024",GMM,GMM,Machine Learning,k-fold cross-validation,80,20,1M,1,5,,,,,,0.8712,,,,,0.1681,,,,Middle land ,
424Q2DMX,2024,"Anggraeni, 2024",GRNN,GRNN,Machine Learning,k-fold cross-validation,80,20,1M,1,7,,,,,,0.9775,,,,,0.0889,,,,Highland ,
